47 Tuc	140811005001344,140811005001342,140811005001351,140808004201178,140808004201195,140808004201210,140808004201199,140808004201174,151224002101206,131123001701206,131220001801206,140113002901206,140111001601206,140112001801206,131220001801159,131123001701159,140111001601166,131220001801212,131123001701212,140808004201160,140113002901210,140111001601210,140112001801210,131123001701217,131220001801217,131123001701187,131220001801187,140824004801215,131120001401218,140808004201198,140808004201202,131123001701174,140111001601170,131220001801174,140113002901215,131123001701215,140111001601215,131220001801215,140112001801215,140113002901158,131220001801165,140112001801158,131123001701165,140111001601158,140824004801209,131120001401210,140808004201201,140824004801199,131220001801157,140111001601176,151224002101157,131220001801141,131123001701141,131220001801160,131220001801179,131123001701179,140111001601179,140113002901179,140112001801179,131220001801178,131123001701178,140111001601180,140808004201164,140824004801153,140111001601195,140808004201149,131220001801169,131123001701169,151224002101198,131220001801255,140808004201155,151224002101188,131220001801158,131123001701158,140113002901155,140111001601155,140112001801155,140811005001367,131220001801153,140113002901152,131123001701153,140112001801152,140111001601152,131123001701261,131220001801261,140111001601261,140808004201243,131220001801269,140111001601274,140113002901274,131123001701269,140112001801274,140808004201162,131123001701162,151224002101163,131220001801162,140111001601165,140112001801165,140113002901165,140113002901144,131123001701132,131220001801132,140111001601144,140112001801144,131123001701270,131220001801270,140111001601270,131120001401167,140824004801167,151224002101173,131220001801176,131123001701176,140113002901175,140111001601175,140112001801175,140808004201191,131220001801262,131123001701262,151224002101261,140111001601262,140808004201215,140808004201152,151224002101238,131123001701238,140112001801238,140111001601238,140113002901238,131220001801243,140808004201159,151224002101196,140824004801125,131120001401126,140824004801201,131120001401201,140808004201181,140808004201205,140111001601273,131123001701274,131220001801274,140808004201196,151224002101152,131120001401143,140824004801143,140808004201136,140808004201139,140808004201142,151224002101252,140113002901209,140111001601209,131220001801249,140112001801209,131123001701249,140824004801193,140808004201157,140808004201166,140808004201165,140808004201167,131220001801149,140111001601149,140112001801149,131220001801263,131123001701263,140111001601220,140113002901220,140112001801220,131120001401140,140808004201171,140824004801130,131220001801268,131123001701268,151224002101268,140111001601268,140112001801268,140113002901268,140824004801206,140808004201182,131123001701276,140111001601272,131220001801276,140112001801272,140824004801145,140808004201194,140808004201197,140824004801243,140808004201230,140808004201156,140808004201213,140824004801218,131220001801282,140111001601283,131123001701282,140808004201177,140808004201143,140808004201137,131220001801285,131123001701285,140808004201140,131220001801277,151224002101127,131120001401124,140824004801123,140808004201214,140808004201147,140824004801144,140808004201235,140824004801282,131120001401283,140808004201173,140112001801219,140113002901219,140111001601219,131123001701242,131220001801242,151224002101274,140808004201180,140808004201129,131220001801146,131123001701146,140111001601124,140112001801124,140808004201203,140808004201211,140808004201188,131123001701264,131220001801264,140111001601286,140112001801286,140808004201168,140808004201217,151224002101275,131120001401288,140808004201184,131123001701135,140111001601114,131220001801135,151224002101118,140113002901114,140112001801114,140811005001377,140808004201118,140111001601192,151224002101284,140113002901192,131123001701284,140112001801192,131220001801284,140824004801129,140808004201176,140808004201260,140808004201222,140808004201236,140113002901212,140112001801212,140111001601212,140111001601292,131123001701293,131220001801293,140808004201229,140808004201132,140808004201253,131123001701294,131220001801294,151224002101291,140112001801288,140111001601288,140808004201130,131120001401108,140824004801107,140824004801182,140808004201124,140808004201097,140808004201187,151224002101162,140808004201127,131123001701106,131220001801106,140111001601133,140113002901289,131220001801288,140111001601289,140808004201169,131123001701167,131220001801167,140112001801151,140111001601151,140113002901297,140111001601297,151224002101298,131123001701289,140112001801297,131220001801289,140808004201134,140112001801287,140111001601287,131220001801287,131123001701287,140824004801271,140808004201208,131220001801286,131123001701286,140111001601280,140808004201141,140824004801296,131120001401304,140808004201244,140808004201133,131220001801292,131123001701292,140111001601293,140824004801096,140111001601101,131220001801097,140808004201225,140808004201241,140824004801086,131123001701296,151224002101305,131220001801296,140808004201228,140824004801118,140824004801290,131120001401307,140808004201128,140808004201146,140824004801284,140808004201227,140824004801091,131120001401090,140824004801092,140824004801018,131220001801297,131123001701305,131220001801305,140111001601305,140808004201135,140808004201258,140808004201131,140824004801268,140824004801347,140808004201116,131120001401290,140808004201257,140824004801099,131123001701290,131220001801290,131220001801105,151224002101102,140113002901121,140111001601121,131123001701105,140112001801121,140824004801399,140824004801326,140824004801225,140808004201106,140824004801004,151224002101311,131123001701311,140112001801303,140111001601303,140113002901303,131220001801311,140824004801059,140824004801335,140824004801279,131120001401262,151224002101319,140113002901275,131123001701275,140111001601275,131220001801275,140112001801275,151224002101331,140824004801260,131120001401332,140808004201254,140808004201246,151224002101119,140824004801338,151224002101376,140111001601324,131123001701326,140112001801324,131220001801326,140113002901324,140824004801266,140808004201108,131120001401322,140113002901309,131220001801309,131123001701309,140111001601309,140112001801309,151224002101166,140112001801128,131123001701119,140113002901128,140111001601128,131220001801119,140824004801097,131123001701291,140111001601314,131220001801291,131123001701109,140112001801110,140111001601110,131220001801109,140808004201103,131123001701166,131220001801166,140111001601148,140113002901148,140112001801148,140808004201252,140824004801311,140808004201190,140824004801340,140808004201111,131120001401320,140808004201262,131123001701116,131220001801116,131123001701314,131220001801314,140824004801115,151224002101322,131220001801322,131123001701322,140111001601323,140112001801323,140824004801339,131120001401317,140808004201242,140112001801107,151224002101106,131220001801096,131123001701096,140113002901107,140111001601107,140111001601065,140112001801065,140824004801334,140808004201112,151224002101073,140824004801058,140111001601322,140112001801322,131123001701068,140824004801069,131120001401056,131120001401319,140824004801331,140808004201104,140808004201232,140824004801085,131120001401086,140824004801328,140824004801048,140808004201105,151224002101063,140111001601066,140113002901066,140112001801066,151224002101317,131123001701303,131220001801303,140808004201240,140112001801052,131220001801052,140113002901052,131123001701052,140111001601052,131220001801320,140111001601313,140824004801322,151224002101061,131120001401070,140824004801070,140111001601308,140112001801308,140113002901308,131220001801280,131123001701111,140112001801117,140113002901117,131220001801111,140111001601117,140808004201099,131220001801283,131123001701283,131120001401325,131220001801021,131123001701021,151224002101136,140113002901021,140111001601021,151224002101353,140824004801017,131120001401018,151224002101129,140112001801315,140113002901315,151224002101320,131220001801318,140111001601315,131123001701319,131123001701360,131220001801360,151224002101352,131123001701344,131220001801344,140113002901332,140112001801332,140111001601332,131120001401298,140824004801329,151224002101356,131123001701336,131220001801336,140808004201113,151224002101349,140824004801395,140111001601030,131123001701030,131220001801030,140113002901030,140112001801030,131120001401028,151224002101044,140113002901024,140111001601024,131220001801024,131123001701024,140112001801024,140808004201233,140824004801011,151224002101045,140824004801026,131220001801341,131123001701341,151224002101340,131120001401318,140113002901058,131220001801058,131123001701058,151224002101068,140111001601058,131120001401032,140808004201265,151224002101346,151224002101076,131120001401395,140824004801396,140808004201121,140824004801337,131120001401337,140808004201281,131123001701349,131220001801349,140113002901034,131123001701035,151224002101028,131220001801035,140111001601034,140112001801306,140111001601306,131120001401054,140824004801053,131220001801007,131123001701007,140111001601325,140112001801325,140113002901325,151224002101358,131123001701053,131220001801053,140111001601054,131120001401324,140808004201102,151224002101008,131220001801379,131123001701379,131220001801394,140112001801379,131123001701394,140111001601379,140113002901379,131120001401043,131220001801028,131123001701028,131120001401375,151224002101013,131123001701018,131220001801018,140113002901028,140111001601028,140112001801028,131220001801342,131123001701342,151224002101003,140111001601029,131220001801048,131123001701048,140112001801029,140111001601049,131123001701047,151224002101051,131220001801047,140112001801049,140113002901049,151224002101034,131120001401359,151224002101330,131220001801324,131123001701324,140113002901304,140111001601304,140112001801304,131120001401022,140824004801022,140111001601375,151224002101397,140113002901375,140112001801375,151224002101344,140824004801336,140808004201098,140824004801005,131123001701371,140111001601364,131220001801371,140113002901364,140112001801364,151224002101021,140824004801002,131220001801005,131123001701005,140111001601317,140113002901317,140112001801317,140808004201110,131220001801343,131123001701343,140111001601298,131123001701020,131220001801020,151224002101022,131120001401384,140824004801392,140111001601022,140113002901022,151224002101025,140112001801022,140808004201114,140111001601387,140113002901387,140112001801387,151224002101333,131120001401362,140824004801362,131220001801382,131123001701382,151224002101395,131220001801037,131123001701037,140808004201089,151224002101323,140111001601307,131220001801335,140113002901307,131123001701335,140112001801307,140824004801349,131120001401356,140808004201266,131120001401019,140808004201094,131220001801017,131123001701017,140111001601316,140113002901316,140112001801316,140808004201095,140824004801345,131123001701330,140111001601318,131220001801330,151224002101318,131120001401380,140824004801008,131120001401392,140111001601048,140112001801048,140113002901048,131220001801049,131123001701049,140808004201282,140113002901037,151224002101038,140111001601037,131220001801038,131123001701038,131120001401003,140824004801355,131120001401354,140808004201268,131220001801339,131123001701339,131120001401026,140824004801029,140808004201284,140824004801394,140111001601310,140808004201070,131120001401355,140824004801354,140808004201276,131120001401040,140824004801039,151224002101373,140111001601390,140112001801390,140113002901390,140111001601023,140113002901023,140112001801023,131120001401366,140824004801363,140808004201256,140808004201138,131120001401388,140111001601026,151224002101375,140112001801026,131123001701034,140113002901026,131220001801034,140112001801394,131220001801366,131123001701366,140111001601394,140113002901394,131120001401049,140808004201076,140112001801038,151224002101390,140113002901038,140111001601038,140824004801049,151224002101308,131123001701398,131220001801398,140808004201120,131120001401374,140824004801348,131220001801054,140111001601053,140112001801053,140824004801397,151224002101007,140808004201251,140111001601299,140112001801299,140113002901299,131220001801368,131123001701368,131123001701389,131220001801389,151224002101030,140113002901033,140112001801033,140111001601033,131123001701033,140808004201069,131120001401376,140808004201270,140824004801341,140111001601386,151224002101019,131120001401017,140808004201101,140808004201126,140824004801393,140808004201086,151224002101024,140808004201079,131120001401037,140824004801040,151224002101369,140111001601352,140112001801352,131220001801338,131123001701338,140113002901352,140808004201286,151224002101301,140808004201067,140113002901035,140111001601035,131220001801036,140112001801035,131123001701036,140111001601290,131123001701363,131220001801363,140112001801290,131123001701356,131220001801356,140111001601357,140808004201016,140824004801006,151224002101314,140113002901294,131123001701012,140111001601294,140112001801294,131220001801012,140808004201087,131220001801041,151224002101040,140113002901040,140111001601040,131123001701041,140808004201064,140112001801047,131220001801045,140111001601047,131123001701045,131220001801027,151224002101014,131123001701027,140808004201119,131120001401372,151224002101382,140824004801371,140113002901380,140112001801380,140111001601380,140808004201290,131123001701333,131220001801333,140111001601333,140808004201305,131123001701364,140111001601363,131220001801364,140808004201263,151224002101385,131120001401363,140824004801353,151224002101361,140112001801362,140111001601362,140113002901362,151224002101371,140112001801378,140111001601378,140113002901378,140808004201125,131120001401349,140824004801351,140808004201279,131120001401387,140824004801386,140808004201123,140112001801345,131123001701331,131220001801331,151224002101345,140111001601345,140808004201289,140824004801015,131120001401015,140112001801389,140111001601389,131220001801370,140113002901389,131123001701370,131123001701016,131220001801016,151224002101381,131220001801044,140111001601043,131123001701044,140113002901043,140112001801043,140824004801398,131120001401399,140808004201024,151224002101002,131123001701378,131220001801378,140111001601392,140112001801392,140113002901392,140808004201337,151224002101384,140808004201078,151224002101032,131120001401033,140824004801052,131220001801373,140113002901372,140111001601372,140112001801372,131123001701373,140808004201355,140808004201329,140808004201031,140808004201122,151224002101370,131120001401371,140824004801372,140808004201091,131220001801380,131123001701380,140808004201054,151224002101399,131120001401379,140824004801379,140808004201391,131123001701340,131220001801340,140111001601349,140112001801349,140112001801337,131123001701337,131220001801337,140111001601337,131123001701376,131220001801376,140113002901388,140112001801388,140111001601388,140808004201375,140111001601031,131123001701029,140112001801004,151224002101004,140113002901004,131123001701004,131220001801004,140111001601004,151224002101387,140112001801343,131123001701345,151224002101343,131220001801345,140111001601343,140113002901343,140808004201341,131220001801362,131123001701362,140111001601358,131120001401370,140824004801369,140808004201393,131120001401382,140824004801381,151224002101380,140808004201006,140808004201310,140808004201319,140808004201025,151224002101367,131220001801367,140111001601366,140112001801366,140113002901366,131123001701367,140808004201358,140808004201023,131123001701377,131220001801377,131123001701395,131220001801395,151224002101033,131120001401035,140824004801046,140808004201049,140808004201034,140808004201349,140111001601371,151224002101017,140112001801371,131220001801372,131123001701372,140113002901371,140824004801003,131120001401008,140808004201017,131123001701353,131220001801353,131220001801383,131123001701383,140111001601370,131123001701357,131220001801357,140111001601356,140808004201385,140808004201073,140111001601369,140112001801369,131123001701369,131220001801369,140808004201333,140808004201041,131220001801019,140111001601017,140113002901020,140111001601020,131123001701022,131220001801022,140112001801020,140808004201368,140808004201090,140808004201394,140111001601011,131123001701013,140113002901011,140112001801011,131123001701008,140112001801007,140111001601007,131220001801008,140808004201365,140808004201004,140808004201042,140808004201009,140808004201047,140808004201085,140808004201324,140808004201033,140808004201039,140808004201396,140808004201072,140808004201055,140808004201051,140808004201048
NGC 288	140116002201151,140115002101151,140114002401151,140115002101209,140116002201209,140114002401209,131120001101225,131118001101225,140114002401227,140115002101227,140116002201227,140114002401203,140115002101203,140116002201146,140115002101146,140114002401146,140115002101137,140114002401125,140116002201125,140115002101171,140114002401171,140116002201171,140115002101164,140114002401164,131118001101141,131118001101180,140114002401244,140114002401257,140115002101257,140115002101180,140116002201180,140114002401180,131118001101271,131118001101233,140116002201204,140115002101204,140114002401204,140115002101119,140114002401119,131118001101334,140114002401275,140115002101275,131118001101210,131120001101210,140114002401239,140116002201239,140115002101239,140116002201080,140114002401080,140115002101080,140115002101290,140114002401290,140116002201290,131118001101196,140115002101114,140114002401114,140116002201114,140115002101335,140114002401335,140116002201335,140115002101186,140116002201186,140114002401186,140115002101338,140114002401338,140116002201338,131118001101156,131120001101156,131120001101135,140114002401249,140115002101249,140116002201249,140114002401098,140116002201098,140115002101098,131120001101152,131118001101152,140116002201324,140115002101324,140114002401324,140116002201036,140114002401036,140115002101045,131118001101296,131118001101103,140114002401236,140115002101236,140116002201236,140115002101318,140114002401318,140114002401095,140115002101095,140116002201095,131118001101091,140115002101367,140116002201367,140114002401367,140114002401390,140116002201390,140115002101390,131118001101093,131120001101295,131118001101295,140114002401397,140116002201397,140115002101397,140114002401373,140115002101373,140116002201373,131118001101318,131118001101003,131118001101345,140115002101299,140116002201299,140114002401299,140114002401046,140116002201046,140115002101046,131118001101089,140114002401331,140116002201331,140115002101331,140114002401321,140115002101352,140114002401352,140116002201352,131118001101397,140114002401355,140115002101355,140116002201073,140115002101073,140114002401073,131118001101102,131120001101102,140116002201334,140114002401334,140115002101334,140114002401398,140116002201398,131118001101020,131118001101013,131120001101013,140114002401394,140115002101394,140116002201039,140115002101039,140114002401039,140116002201376,140114002401376,140115002101376,140114002401364,140114002401345,140115002101345,140116002201345,131118001101339,131118001101371,140115002101340,140114002401340,140116002201340,131118001101019,140115002101378,140114002401378,140116002201378,140114002401006,140116002201006,140115002101006
NGC 362	131120002001220,131120002001252,131120002001185,131123002001178,131118001901178,140806004701006,131118001901122,131123002001122,131123002001188,131118001901183,131120002001196,131120002001191,131120002001209,131120002001160,131118001901259,131123002001259,131120002001177,131120002001246,131120002001211,131120002001145,131120002001182,131123002001187,131118001901187,131120002001173,131118001901217,131123002001214,131118001901255,131123002001254,140806004701397,131120002001282,131120002001180,140823002701398,131118001901243,131123002001243,140806004701399,140806004701011,140823002701005,131120002001276,131120002001120,131118001901266,131123002001267,131123002001279,131118001901278,131120002001135,131120002001248,140806004701012,131118001901109,131123002001110,140823002701011,131120002001108,131120002001154,131120002001020,140806004701393,140823002701388,131123002001295,131118001901295,131120002001281,131120002001295,131123002001091,131118001901087,131120002001312,140806004701008,140823002701393,131120002001305,131120002001086,131120002001310,140806004701009,140823002701012,140806004701398,131123002001335,131118001901332,140806004701004,140823002701004,131120002001078,131120002001376,131120002001038,131120002001328,131118001901374,131123002001373,140806004701001,131120002001005,131120002001006,131120002001393,131120002001320,131123002001363,131118001901360,140823002701397,131120002001377,131120002001333,131120002001318
NGC 1851	140117003101153,140115003901153,140115003901230,140117003101230,140115003901242,140117003101242,140115003901157,140117003101157,140117003101285,140115003901285,140117003101210,140115003901210,140117003101143,140115003901143,140115003901232,140117003101232,140117003101269,140115003901269,140117003101314,140115003901314,140115003901329,140117003101329,140117003101103,140115003901103,140115003901346,140117003101346,140115003901397,140117003101397,140117003101112,140115003901112,140115003901030,140117003101030,140115003901014,140117003101014,140117003101380,140115003901380,140117003101396,140115003901396,140117003101386,140115003901386
$\Omega$ Cen	140316004201173,140314005201173,140315002501173,140315002501162,140316004201162,140314005201162,140316004201174,140315002501174,140314005201174,140315002501210,140316004201210,140314005201210,140316004201204,140315002501204,140314005201204,140316004201237,140314005201237,140315002501237,140316004201215,140314005201215,140315002501215,140316004201158,140314005201158,140315002501158,140314005201153,140316004201153,140315002501153,140314005201226,140316004201226,140315002501226,140316004201185,140314005201185,140315002501185,140305003201185,140314005201231,140315002501231,140316004201231,140314005201193,140305003201194,140315002501193,140316004201193,140305003201203,140314005201190,140316004201190,140315002501190,140307002601202,140303002001202,140305003701202,140304001801202,140307002601220,140305003701220,140304001801220,140316004201207,140305003201207,140314005201207,140315002501207,140305003201152,140315002501217,140314005201217,140316004201217,140315002501179,140316004201179,140305003201170,140305003201234,140314005201234,140315002501234,140316004201234,140304001801213,140305003701213,140307002601213,140307002601159,140314005201198,140305003201197,140316004201198,140315002501198,140307003101172,140316004201163,140314005201163,140315002501163,140314005201157,140316004201157,140315002501157,140305003201157,140304001801208,140307002601208,140305003701208,140314005201247,140315002501247,140316004201247,140307002601157,140305003201187,140307002601161,140307002601164,140307003101167,140315002501176,140316004201176,140314005201176,140305003201158,140316004201224,140305003201198,140314005201224,140315002501224,140305003701148,140307002601148,140304001801148,140303002001148,140307002601225,140305003201143,140305003201267,140305003201155,140316004201195,140314005201195,140315002501195,140307002601227,140307002601156,140303002001231,140304001801231,140305003701231,140307003101201,140305003201191,140305003701192,140307002601192,140304001801192,140307003101182,140315002501184,140316004201184,140314005201184,140304001801147,140307002601147,140305003701147,140303002001147,140304001801167,140307002601167,140305003701167,140307002601143,140305003701143,140316004201240,140305003201245,140315002501240,140314005201240,140305003701155,140303002001155,140307002601155,140304001801155,140307002601247,140305003201177,140307003101208,140305003201147,140316004201152,140314005201152,140315002501152,140304001801230,140305003701230,140307002601230,140303002001230,140305003201169,140305003201164,140316004201144,140305003201144,140314005201144,140315002501144,140305003201145,140307002601153,140307002601158,140307002601180,140305003201221,140307003101249,140307003101218,140314005201177,140316004201177,140305003201178,140315002501177,140305003201246,140305003201154,140305003201229,140305003201146,140305003201156,140307003101147,140307002601206,140304001801206,140305003201149,140305003701102,140307002601102,140304001801102,140303002001102,140305003201166,140315002501139,140314005201139,140316004201139,140305003201130,140307002601144,140305003701144,140304001801144,140307003101254,140307003101149,140305003201184,140305003201162,140314005201209,140316004201209,140315002501209,140316004201257,140314005201257,140315002501257,140305003201286,140316004201187,140315002501187,140314005201187,140305003201196,140307002601257,140307003101289,140315002501118,140316004201118,140314005201118,140305003201171,140303002001236,140304001801236,140305003701236,140307002601236,140303002001112,140305003701112,140304001801112,140307002601112,140304001801238,140307002601238,140305003701238,140305003701106,140304001801106,140303002001106,140307002601106,140307003101138,140305003201266,140315002501269,140316004201269,140314005201269,140305003201101,140305003201131,140315002501151,140316004201151,140314005201151,140316004201258,140314005201258,140315002501258,140305003701232,140307002601232,140303002001232,140314005201133,140316004201133,140315002501133,140305003201261,140307002601139,140305003701139,140305003201135,140316004201123,140315002501123,140314005201123,140307002601256,140316004201279,140315002501279,140314005201279,140303002001068,140307002601068,140304001801068,140305003701068,140305003201258,140305003201268,140314005201271,140316004201271,140315002501271,140305003201123,140316004201214,140314005201214,140315002501214,140316004201264,140305003201265,140314005201264,140315002501264,140307002601125,140305003201270,140305003201133,140307002601286,140305003201276,140316004201259,140314005201259,140315002501259,140307002601122,140305003701122,140304001801122,140303002001122,140305003201291,140305003201112,140315002501283,140316004201283,140314005201283,140307003101269,140316004201276,140314005201276,140315002501276,140305003201139,140307002601154,140304001801154,140304001801279,140305003701279,140307002601279,140307002601234,140305003201110,140315002501115,140316004201115,140314005201115,140305003201099,140305003201274,140305003701293,140303002001293,140304001801293,140307002601293,140305003201098,140316004201112,140314005201112,140315002501112,140305003201289,140307003101282,140305003701290,140307002601290,140314005201120,140315002501120,140316004201120,140305003201109,140305003201287,140305003201310,140307003101287,140314005201108,140316004201108,140305003201111,140315002501108,140307003101110,140305003201305,140314005201294,140316004201294,140315002501294,140315002501104,140316004201104,140314005201104,140305003201104,140316004201291,140315002501291,140314005201291,140316004201296,140314005201296,140315002501296,140305003201107,140303002001275,140307002601275,140304001801275,140316004201301,140314005201301,140315002501301,140305003201306,140305003201329,140314005201098,140316004201098,140315002501098,140314005201298,140316004201298,140315002501298,140305003701094,140307002601094,140304001801094,140307002601169,140304001801169,140305003701169,140303002001169,140305003201309,140305003201103,140305003701105,140307002601105,140305003201095,140305003201302,140316004201094,140314005201094,140315002501094,140315002501086,140307003101087,140314005201086,140316004201086,140305003201108,140307003101311,140305003201355,140314005201307,140316004201307,140315002501307,140316004201309,140305003201290,140314005201309,140315002501309,140314005201093,140316004201093,140315002501093,140307003101131,140305003701085,140307002601085,140304001801085,140305003201351,140305003201330,140305003701316,140304001801316,140307002601316,140307002601334,140305003701079,140307002601079,140304001801079,140316004201335,140314005201335,140315002501335,140305003201029,140305003201038,140316004201070,140315002501070,140314005201070,140305003201323,140307003101324,140307002601322,140316004201326,140315002501326,140314005201326,140305003201334,140307003101375,140307003101339,140316004201328,140315002501328,140314005201328,140305003201333,140305003201322,140305003201074,140316004201312,140315002501312,160419003601164,140314005201312,140314005201082,140315002501082,140316004201082,140307002601338,140315002501321,160419003601153,140316004201321,140314005201321,140307003101055,140316004201331,140315002501331,140314005201331,140316004201026,140314005201026,140315002501026,140307002601084,140305003201331,140305003701337,140307002601337,140304001801337,140305003201055,140307002601005,140305003701005,140307003101059,140305003201336,160419003601144,140315002501336,140314005201336,140316004201336,140315002501068,140305003201030,140314005201068,140316004201068,140305003201053,140305003201049,140314005201080,140315002501080,140316004201080,140305003201326,140307002601392,140307002601006,140314005201339,140315002501339,140316004201339,140305003201046,140305003201061,140305003201335,140305003701097,140307002601097,140304001801097,140307003101307,140314005201054,140316004201054,140305003201057,140315002501054,140305003201327,140307002601095,140304001801095,140305003701095,140304001801063,140307002601063,140305003701063,140304001801066,140305003701066,140307002601066,140307002601341,140304001801341,140307003101303,140304001801013,140307002601013,140305003701013,140307003101361,140307002601076,140305003701076,140304001801076,140303002001076,140307002601375,140305003201051,140305003201353,140305003201395,140316004201058,140314005201058,140315002501058,140307003101057,140304001801029,140305003701029,140307002601029,140305003201373,140307003101028,140307003101379,140305003201393,140307003101052,140307003101365,140307002601382,140307003101095,140316004201067,140314005201067,140315002501067,140316004201073,140314005201073,140315002501073,140305003201016,140307003101030,140307003101012,140305003701040,140307002601040,140307002601045,140305003701045,140305003701049,140307002601049,140304001801049,140305003201082,140316004201349,140305003201328,140314005201349,140315002501349,140305003201399,140307002601362,140304001801362,140305003701362,140305003701377,140307002601377,140307003101367,140305003701041,140307002601041,140304001801041,140305003201388,140305003201028,160419003601137,140316004201365,140315002501365,140314005201365,140307002601367,140304001801367,140316004201379,140315002501379,140314005201379,140305003201014,140305003701037,140307002601037,140304001801037,140304001801016,140305003701016,140307002601016,140307003101362,160419003601140,140305003201346,140314005201358,140315002501358,140316004201358,140305003201011,140316004201042,140314005201042,140315002501042,140305003201361,140314005201048,140305003201045,140316004201048,140315002501048,140307003101023,140307003101003,160419003601139,140305003201356,140307002601335,140304001801335,140305003201003,140305003201037,140316004201037,140314005201037,140315002501037,140305003201357,140316004201020,140315002501020,140314005201020,140305003201015,140305003701038,140307002601038,140304001801038,140305003201036,140303002001019,140305003701019,140304001801019,140307002601019,140307002601035,140304001801021,140307002601021,140305003701021,140316004201038,140305003201039,140315002501038,140314005201038,140305003201349,140304001801017,140307002601017,140305003701017,140304001801356,140305003701356,140307002601356,140305003201342,140307002601359,140305003701359,140305003201389,140307002601025,140305003701025,140316004201057,140314005201057,140315002501057,140305003201337,140307003101395,140316004201004,140315002501004,140314005201004,140305003201022,140307002601014,140305003201008,140316004201364,140305003201362,140314005201364,140315002501364,140305003201009,140307002601004,140305003701004,140307002601042,140316004201380,140315002501380,140314005201380,140305003201025,140307002601394,140304001801394,140305003701394,140314005201034,140316004201034,140315002501034,160419003601136,140314005201005,140315002501005,140316004201005,140314005201019,140315002501019,140316004201019,140314005201015,140315002501015,140316004201015,160419003601131,140316004201384,140316004201369,140314005201369,140315002501369,140316004201396,140315002501396,140314005201396,140316004201011,140314005201011,140315002501011,140314005201035,140315002501035,140316004201035,140316004201371,140315002501371,140314005201371,140316004201014,140315002501014,140314005201014,140314005201392,140315002501392,140316004201392,140314005201003,140316004201003,140315002501003,140316004201030,140314005201030,140315002501030,140316004201008,140314005201008,140315002501008,140316004201355,140314005201355,160419003601125,140314005201378,140315002501378,140316004201378,160419003601124,140316004201394,140314005201394,140315002501394,160419003601126,140315002501028,140314005201028,140314005201363,140315002501363,140316004201363
NGC 6362	140713002401337,150824002601342,150824002601339,150824002601341,140713002401341,150824002601343,140713002401344,150824002601345,140713002401349
NGC 6397	160419005101060,160327006601063,160419005101057,160327006601057,160327006601061,160327006601054,160327006601059,160327006601062,160419005101056,160419005101059,160327006601060,160327006601053,160419005101052,160419005101043,160419005101054,160327006601056,160327006601046,160327006601055,160419005101051,160419005101040,160327006601052,160327006601044,160419005101046
NGC 7099	150901001101142,150901001101186,150901001101166,150901001101245,150901001101128,150901001101281,150901001101274,150901001101278,150901001101294,150901001101144,150901001101141,150901001101184,150901001101305,150901001101042,150901001101022,150901001101158,150901001101031,150901001101286,150901001101002,150901001101030,150901001101394,150901001101324,150901001101340,150901001101399
