sobject_id, classification
170805004601308,BINARY
140708000601377,BINARY
170114005801297,BINARY
140810002701035,BINARY
170404003601058,BINARY
140111002101326,BINARY
180102001601389,BINARY
170403002701219,BINARY
171031003301266,BINARY
150410003801378,BINARY
140314003601385,BINARY
171230002101176,BINARY
160123002101177,BINARY
150204001601113,BINARY
151230003301346,BINARY
170515006601171,BINARY
170118003301165,BINARY
151008003501143,BINARY
170120002101015,BINARY
170107003101345,BINARY
161218002101147,BINARY
170514003001005,BINARY
150209002701380,BINARY
170517004501080,BINARY
170412002401274,BINARY
171227002601023,BINARY
161013004401323,BINARY
151229005501349,BINARY
151229005001349,BINARY
160106002601107,BINARY
170113002601375,BINARY
160331005301241,BINARY
161213006101223,BINARY
160515002301015,BINARY
160402007701251,BINARY
140313003601372,BINARY
170114002601174,BINARY
180130002801172,BINARY
160415002101241,BINARY
170603006101216,BINARY
170115004701185,BINARY
170411001601193,BINARY
170415002001347,BINARY
180103004601303,BINARY
150406001801149,BINARY
161115003701125,BINARY
170828001101358,BINARY
170710002201055,BINARY
150209002701175,BINARY
140310003801336,BINARY
151220002201120,BINARY
140309003101085,BINARY
170805002101244,BINARY
160515001801248,BINARY
170106004601334,BINARY
150409007101032,BINARY
170106004101052,BINARY
150830004601292,BINARY
140415002101110,BINARY
140414003601157,BINARY
150103005001016,BINARY
150429001101032,BINARY
170801002501127,BINARY
180101002601032,BINARY
161213003101240,BINARY
160524006601249,BINARY
150405003401234,BINARY
170205005401172,BINARY
170410002101333,BINARY
150830005601294,BINARY
170516001601308,BINARY
170910005601017,BINARY
170806001601368,BINARY
170509007701152,BINARY
170806003201008,BINARY
170806001601185,BINARY
170115004201018,BINARY
160415005101080,BINARY
170205002801313,BINARY
170118002701135,BINARY
170404003601363,BINARY
170112001601182,BINARY
170603004101176,BINARY
170506002401370,BINARY
170507008301032,BINARY
160421004601257,BINARY
170615004901188,BINARY
150210004701229,BINARY
140413003201282,BINARY
161218003601021,BINARY
160402007201066,BINARY
170508001601112,BINARY
160129003101321,BINARY
150209003301007,BINARY
170416005801142,BINARY
170615003901180,BINARY
160415002101099,BINARY
160812002101373,BINARY
170517003901245,BINARY
180102001601110,BINARY
170805001601017,BINARY
140711003401025,BINARY
140117001101142,BINARY
150703004101373,BINARY
160531004601139,BINARY
140414005101257,BINARY
170710001601289,BINARY
160514002301352,BINARY
140812001601153,BINARY
160811004601110,BINARY
170220004601165,BINARY
150829005701259,BINARY
150211002201366,BINARY
150206002601126,BINARY
170114005201216,BINARY
160327003601002,BINARY
151225001601035,BINARY
170131001801165,BINARY
161217003101284,BINARY
170410002701204,BINARY
150411006101133,BINARY
140313003601298,BINARY
160523004001206,BINARY
180102003101387,BINARY
161117005201378,BINARY
151227004701268,BINARY
160401005901130,BINARY
170416005301054,BINARY
140309003101092,BINARY
161118005201002,BINARY
140608001901028,BINARY
170411002101341,BINARY
170115005801092,BINARY
151009001601167,BINARY
170510003301355,BINARY
170713001601313,BINARY
170408006001090,BINARY
140608002501034,BINARY
151110004201022,BINARY
170603005601240,BINARY
160325003201171,BINARY
170604003601244,BINARY
170509006701293,BINARY
150105002801360,BINARY
151225003801245,BINARY
160421001601383,BINARY
180103004601096,BINARY
170217002201197,BINARY
170118002201342,BINARY
161011004001259,BINARY
170114004101315,BINARY
170113003101342,BINARY
150411005101268,BINARY
170509003701132,BINARY
151225004301392,BINARY
170206003201135,BINARY
170511000101037,BINARY
170603005601238,BINARY
160129004201221,BINARY
160425003101055,BINARY
160524004201320,BINARY
150830002301037,BINARY
170116001601388,BINARY
170217002801092,BINARY
160422005701335,BINARY
151230002201261,BINARY
161219003101134,BINARY
170713002601095,BINARY
170418002101306,BINARY
160403002501105,BINARY
161217005101081,BINARY
170216001801174,BINARY
160424005201396,BINARY
160106004101361,BINARY
151110004701295,BINARY
150401003601365,BINARY
140805001501185,BINARY
170725001601052,BINARY
150428000101145,BINARY
150829003101187,BINARY
170108003901226,BINARY
180101001601081,BINARY
180126003201192,BINARY
170217003401089,BINARY
171106005201203,BINARY
170202000101018,BINARY
150204003701319,BINARY
160519002101013,BINARY
150411006601396,BINARY
