sobject_id,classification
170403002201037,BIN
170403002201088,BIN
170403001601006,BIN
170403002701008,BIN
170403001601156,BIN
170403001601059,BIN
170403001601314,BIN
170403001601331,BIN
170403002201260,BIN
170403001601097,BIN
170403002201312,BIN
170403001601091,BIN
170403002201333,BIN
170408004001158,BIN
170408002501296,BIN
170408005501368,BIN
170408004001065,BIN
170408005001042,BIN
170408004501161,BIN
170408006001172,BIN
170408004001173,BIN
170408005001031,BIN
170408003501232,BIN
170408004001093,BIN
170408005501281,BIN
170408006001022,BIN
170408006001376,BIN
170408004501275,BIN
170408004001321,BIN
170408006001031,BIN
170408003501312,BIN
170408005501173,BIN
170408006001230,BIN
170408002501270,BIN
170408004501036,BIN
170408004501106,BIN
170408004001328,BIN
170408003501283,BIN
170408005501392,BIN
170408005501145,BIN
170408004001231,BIN
170408002501282,BIN
170408005501128,BIN
170408005001119,BIN
170408006001126,BIN
170408004001265,BIN
170408003501054,BIN
170408005001216,BIN
170408006001246,BIN
170530002601125,BIN
170530003601326,BIN
170530003601303,BIN
170530004101136,BIN
170530001601028,BIN
170530002101311,BIN
170530002101082,BIN
170530003101205,BIN
170530003101012,BIN
170530003101353,BIN
170530002101263,BIN
170530002101268,BIN
170530002101060,BIN
170530003101323,BIN
170530002601089,BIN
170530003601343,BIN
170530002601075,BIN
170530002101006,BIN
170530002101166,BIN
170530002101140,BIN
170530002601309,BIN
170530001601399,BIN
180102002101178,BIN
180102003601028,BIN
180102003601107,BIN
180102004601339,BIN
180102004601207,BIN
180102003101009,BIN
180102003101322,BIN
180102004101351,BIN
180102002101064,BIN
180102002101310,BIN
180102003101141,BIN
180102004101118,BIN
180102004101038,BIN
180102002601163,BIN
180102004601357,BIN
180102003101092,BIN
180102002101173,BIN
180102002101392,BIN
180102002601305,BIN
180102003601355,BIN
180102003101395,BIN
180102002101229,BIN
180102004101308,BIN
180102003101005,BIN
180102004101241,BIN
180102001601071,BIN
180102004101202,BIN
180102001601110,BIN
180102003601344,BIN
180102003601178,BIN
180102004601030,BIN
180102003101157,BIN
180102002601349,BIN
180102005101231,BIN
180102002601098,BIN
180102003601021,BIN
180102001601097,BIN
180102003601066,BIN
180102003601063,BIN
180102002601126,BIN
180102004101317,BIN
180102003601243,BIN
180102004101042,BIN
180102002601243,BIN
170106005101088,BIN
170106003101316,BIN
170106003601138,BIN
170106003101018,BIN
170106004601213,BIN
170106004101378,BIN
170106003601289,BIN
170106004601274,BIN
170106005101161,BIN
170106004101395,BIN
170106003101105,BIN
170106004101030,BIN
170106003101218,BIN
170106003101361,BIN
170106003601137,BIN
170106005101247,BIN
170106003601037,BIN
170106005101287,BIN
170106003101017,BIN
170106003101229,BIN
170106003601086,BIN
170106002601225,BIN
170106003601032,BIN
170106002601246,BIN
170106002601014,BIN
170106002601172,BIN
170106003101263,BIN
170106003601308,BIN
170106004101379,BIN
170106005101097,BIN
170106002601399,BIN
170106002601311,BIN
170106003601265,BIN
170106002601181,BIN
170106004601240,BIN
170106004101072,BIN
170106003601001,BIN
170106003101022,BIN
170106003101392,BIN
170106003601015,BIN
170106004101273,BIN
141102003201002,BIN
141102002401175,BIN
141102002401091,BIN
141102002401332,BIN
141102002701317,BIN
141102003201195,BIN
141102002401291,BIN
141102003201072,BIN
141102003201215,BIN
141102002401115,BIN
141102003201207,BIN
141102003201339,BIN
141102002701148,BIN
141102002701213,BIN
141102002701029,BIN
141102003201236,BIN
141102003201321,BIN
141102003201020,BIN
141102003201358,BIN
141102003201366,BIN
141102002401361,BIN
141102002701224,BIN
141102003201287,BIN
141102002401102,BIN
141102002401149,BIN
180129003601275,BIN
180129004901237,BIN
180129003101216,BIN
180129003101360,BIN
180129004101365,BIN
180129002601094,BIN
180129004101021,BIN
180129003601063,BIN
180129002601009,BIN
180129003101118,BIN
180129003101267,BIN
180129004101233,BIN
180129002601228,BIN
180129003601253,BIN
180129004401258,BIN
180129004401368,BIN
180129002601164,BIN
180129003101381,BIN
180129004901094,BIN
180129004401031,BIN
180129004901189,BIN
180129004101260,BIN
180129004901341,BIN
180129003101367,BIN
180129004901016,BIN
180129004401343,BIN
180129003101305,BIN
180129003601145,BIN
180129003101364,BIN
180129004901254,BIN
180129003601226,BIN
180129004101190,BIN
180129004401218,BIN
180129002601224,BIN
140113002901394,BIN
140113002301027,BIN
170713002101016,BIN
170713003101026,BIN
170713006101135,BIN
170713004101188,BIN
170713003601189,BIN
170713003601064,BIN
170713002101083,BIN
170713001601059,BIN
170713004601010,BIN
170713002601246,BIN
170713004601242,BIN
170713004101382,BIN
170713005601198,BIN
170713003601288,BIN
170713005601147,BIN
170713004601060,BIN
170713001601313,BIN
170713003601359,BIN
170713005101021,BIN
170713001601285,BIN
170713001601220,BIN
170713004101045,BIN
170713005601303,BIN
170713003601132,BIN
170713006101052,BIN
170713006101171,BIN
170713002601095,BIN
170713006101012,BIN
170713006101272,BIN
170713003601031,BIN
170713003601002,BIN
170713003601331,BIN
170713005101024,BIN
170713004101049,BIN
170713005601009,BIN
170713005101369,BIN
170713006101021,BIN
170713005101019,BIN
170713005601339,BIN
170713003601329,BIN
170713004101384,BIN
170713002601228,BIN
170713002101319,BIN
170713005601312,BIN
170713003601174,BIN
170713006101288,BIN
170713005601153,BIN
170713004601095,BIN
140808002701378,BIN
140808002101010,BIN
140808004701216,BIN
140808002701262,BIN
140808001601367,BIN
140808002701288,BIN
140808003701369,BIN
140808001101098,BIN
140808002101085,BIN
140808001601335,BIN
140808002101079,BIN
140808002701097,BIN
140808003201376,BIN
140808003201008,BIN
140808002101011,BIN
140808002101297,BIN
140808004701209,BIN
140808003701231,BIN
140808004701071,BIN
140808002101096,BIN
140808002101332,BIN
140808002101143,BIN
140808002701080,BIN
140808002101202,BIN
140808003701355,BIN
140808003201057,BIN
140808001101035,BIN
140808001601280,BIN
140808003701020,BIN
140808003201089,BIN
140808001601105,BIN
140808002101393,BIN
140808001101247,BIN
140808001101046,BIN
140808002701014,BIN
140808001101361,BIN
140808002701241,BIN
140808003201381,BIN
140808002101188,BIN
140808001101371,BIN
140808002701111,BIN
140808003701018,BIN
140808004701139,BIN
140808002701331,BIN
140808002701129,BIN
140808004701298,BIN
140308001401390,BIN
140308000101331,BIN
140308001401070,BIN
140308001401006,BIN
140308001401084,BIN
140308001401397,BIN
140308001401154,BIN
140308001401269,BIN
140308001401160,BIN
140308001401092,BIN
140308001401230,BIN
131217003901376,BIN
131217003901127,BIN
131217003901163,BIN
131217002301062,BIN
131217003901059,BIN
131217001801143,BIN
131217003301068,BIN
131217003901003,BIN
131217003901101,BIN
131217001801398,BIN
131217001801397,BIN
131217003301098,BIN
131217002801093,BIN
131217001801205,BIN
131217002801123,BIN
131122000301158,BIN
131122000301321,BIN
131122000301362,BIN
131122000301195,BIN
160419002101167,BIN
160419004601071,BIN
160419003601397,BIN
160419002601244,BIN
160419004101154,BIN
160419005101096,BIN
160419003601049,BIN
160419002601192,BIN
160419002601056,BIN
160419002601387,BIN
160419002601329,BIN
160419003601196,BIN
160419003101136,BIN
160419004601149,BIN
160419003101164,BIN
160419002101393,BIN
160419002101263,BIN
160419002101123,BIN
160419005101256,BIN
160419005701242,BIN
160419002601328,BIN
160419004601372,BIN
160419004101151,BIN
160419004601208,BIN
160419002101072,BIN
160419003101010,BIN
160419005701108,BIN
160419002601358,BIN
160419004101241,BIN
160419004601333,BIN
160419003601123,BIN
160419003601285,BIN
160419005101220,BIN
160419003101119,BIN
160419003101251,BIN
160419002101015,BIN
160419003601168,BIN
160419005101360,BIN
160419003601038,BIN
160419002601240,BIN
160419005101319,BIN
160419003601094,BIN
161105003601394,BIN
161105003101212,BIN
161105004101094,BIN
161105004601117,BIN
161105005101164,BIN
161105002601128,BIN
161105003101161,BIN
161105003101387,BIN
161105004601106,BIN
161105004101126,BIN
161105003101012,BIN
161105002601133,BIN
161105005101271,BIN
161105004101278,BIN
161105003101334,BIN
161105003601226,BIN
161105002601058,BIN
161105004601345,BIN
161105003101125,BIN
161105003101370,BIN
140117001501271,BIN
140117002101118,BIN
140117002601238,BIN
140117001101063,BIN
140117002101301,BIN
140117001501188,BIN
140117001501286,BIN
140117001101322,BIN
140117001101160,BIN
140117002601348,BIN
140117001501305,BIN
140117001101306,BIN
140117001101217,BIN
140117001101207,BIN
140117001501359,BIN
140117002101227,BIN
140117001501257,BIN
140117001101142,BIN
140117002601388,BIN
131123003501081,BIN
131123003001195,BIN
131123002501362,BIN
131123004101004,BIN
131123002501321,BIN
131123003001248,BIN
131123004101035,BIN
131123003001344,BIN
131123004101054,BIN
131123004101197,BIN
131123002501363,BIN
131123003001176,BIN
131123002501195,BIN
131123004101115,BIN
170806004701155,BIN
170806004701032,BIN
170806005801312,BIN
170806001601012,BIN
170806005201398,BIN
170806004701045,BIN
170806004701233,BIN
170806005201249,BIN
170806004701288,BIN
170806004701331,BIN
170806004701289,BIN
170806003701245,BIN
170806004701106,BIN
170806005201024,BIN
170806003201296,BIN
170806001601185,BIN
170806005201042,BIN
170806004701039,BIN
170806005201017,BIN
170806004701387,BIN
170806005201393,BIN
170806005201394,BIN
170806005201097,BIN
170806004701246,BIN
170806004701081,BIN
170806004701357,BIN
170806004701160,BIN
170806005201052,BIN
170806004701111,BIN
170806004701123,BIN
170806004701310,BIN
170806004701040,BIN
170806001601222,BIN
170806004701188,BIN
170806002101313,BIN
170806004701360,BIN
170806003701283,BIN
170806004701034,BIN
170806004701043,BIN
170806002801283,BIN
170806005801255,BIN
170806005201030,BIN
170806004701209,BIN
170806004701257,BIN
170806005201293,BIN
170806004701317,BIN
170806004701199,BIN
170806005201185,BIN
170806004701283,BIN
170806005201014,BIN
170806002801354,BIN
170806004701273,BIN
170806004701157,BIN
170806004701351,BIN
170806004701196,BIN
170806004701319,BIN
170806004701305,BIN
170806001601307,BIN
170806005201068,BIN
170806004701313,BIN
170806004701204,BIN
