sobject_id,FFF
170403002201037,BIN
170403002201088,BIN
170403002201221,BIN
170403002201118,BIN
170403001601006,BIN
170403002701154,BIN
170403002701008,BIN
170403001601059,BIN
170403001601314,BIN
170403001601380,BIN
170403002201327,BIN
170403001601331,BIN
170403002201260,BIN
170403001601097,BIN
170403002201312,BIN
170403001601091,BIN
170403002701263,BIN
170403002201036,BIN
170403002201333,BIN
170408004001158,BIN
170408005501368,BIN
170408006001193,BIN
170408004001065,BIN
170408005001042,BIN
170408004501161,BIN
170408006001172,BIN
170408003501160,BIN
170408004001173,BIN
170408003501232,BIN
170408003501326,BIN
170408005501207,BIN
170408005001276,BIN
170408004501083,BIN
170408006001368,BIN
170408004001093,BIN
170408005501281,BIN
170408004001080,BIN
170408005501309,BIN
170408006001376,BIN
170408004501275,BIN
170408004001321,BIN
170408006001031,BIN
170408003501312,BIN
170408005501173,BIN
170408006001230,BIN
170408002501090,BIN
170408003501119,BIN
170408004501036,BIN
170408004501106,BIN
170408004001328,BIN
170408005501384,BIN
170408003501283,BIN
170408003501085,BIN
170408005501145,BIN
170408005501128,BIN
170408005001119,BIN
170408005001264,BIN
170408003501021,BIN
170408006001126,BIN
170408004001265,BIN
170408005001386,BIN
170408005001216,BIN
170408006001246,BIN
170408006001001,BIN
170408003501121,BIN
170530002601125,BIN
170530003101036,BIN
170530003601326,BIN
170530003601303,BIN
170530001601028,BIN
170530002101180,BIN
170530002101311,BIN
170530002101082,BIN
170530003101205,BIN
170530003101012,BIN
170530003101353,BIN
170530002101263,BIN
170530002601174,BIN
170530002601156,BIN
170530002101268,BIN
170530003601159,BIN
170530002101060,BIN
170530001601357,BIN
170530003101323,BIN
170530002601091,BIN
170530002601089,BIN
170530003601267,BIN
170530002601217,BIN
170530002101177,BIN
170530002601075,BIN
170530002101006,BIN
170530002101166,BIN
170530002101140,BIN
170530001601399,BIN
170106005101088,BIN
170106003101316,BIN
170106003101018,BIN
170106002601145,BIN
170106004601213,BIN
170106004601274,BIN
170106004601082,BIN
170106004601285,BIN
170106004101038,BIN
170106003101105,BIN
170106004101030,BIN
170106003101218,BIN
170106003101361,BIN
170106003601137,BIN
170106004601205,BIN
170106005101247,BIN
170106005101352,BIN
170106003601037,BIN
170106005101287,BIN
170106003101017,BIN
170106003101229,BIN
170106005101165,BIN
170106003601086,BIN
170106002601225,BIN
170106002601014,BIN
170106004601334,BIN
170106002601172,BIN
170106003101263,BIN
170106003601308,BIN
170106002601010,BIN
170106002601399,BIN
170106002601311,BIN
170106003601265,BIN
170106003101060,BIN
170106002601181,BIN
170106004601240,BIN
170106002601131,BIN
170106004101072,BIN
170106003601001,BIN
170106003101022,BIN
170106003101392,BIN
170106004101273,BIN
141102003201002,BIN
141102002401175,BIN
141102002401091,BIN
141102002401332,BIN
141102002401259,BIN
141102002701317,BIN
141102003201243,BIN
141102003201195,BIN
141102002401291,BIN
141102003201072,BIN
141102003201182,BIN
141102003201215,BIN
141102002401115,BIN
141102003201339,BIN
141102002701148,BIN
141102002701213,BIN
141102002701320,BIN
141102002701029,BIN
141102003201236,BIN
141102003201321,BIN
141102003201020,BIN
141102003201204,BIN
141102003201358,BIN
141102003201234,BIN
141102003201366,BIN
141102002401361,BIN
141102002701224,BIN
141102003201287,BIN
141102002401102,BIN
141102002401149,BIN
140113002901371,BIN
140113002901394,BIN
140113002301215,BIN
140113002301270,BIN
140113002301027,BIN
170713002101016,BIN
170713003101026,BIN
170713003601273,BIN
170713006101135,BIN
170713004101188,BIN
170713003601189,BIN
170713003601064,BIN
170713002101083,BIN
170713004601010,BIN
170713005601270,BIN
170713002601246,BIN
170713004601242,BIN
170713004101382,BIN
170713005601198,BIN
170713003601288,BIN
170713005601147,BIN
170713004601060,BIN
170713001601313,BIN
170713003601359,BIN
170713006101287,BIN
170713005101021,BIN
170713001601285,BIN
170713001601220,BIN
170713004101045,BIN
170713004601138,BIN
170713005601303,BIN
170713003601132,BIN
170713002601070,BIN
170713006101052,BIN
170713001601271,BIN
170713003101170,BIN
170713002601187,BIN
170713006101171,BIN
170713002601363,BIN
170713005101357,BIN
170713002601095,BIN
170713006101012,BIN
170713006101272,BIN
170713005601109,BIN
170713003601002,BIN
170713003101032,BIN
170713003101151,BIN
170713003601331,BIN
170713006101235,BIN
170713005101024,BIN
170713004101296,BIN
170713004101220,BIN
170713004101049,BIN
170713005101369,BIN
170713006101021,BIN
170713005101019,BIN
170713004601005,BIN
170713005601339,BIN
170713003601329,BIN
170713004101384,BIN
170713001601358,BIN
170713004101002,BIN
170713002601228,BIN
170713002101185,BIN
170713004101234,BIN
170713005601067,BIN
170713002101319,BIN
170713005601312,BIN
170713003601174,BIN
170713006101288,BIN
170713005601366,BIN
170713004601086,BIN
170713005601153,BIN
170713004601095,BIN
140808002101098,BIN
140808002701378,BIN
140808002101010,BIN
140808002701262,BIN
140808002701288,BIN
140808003701369,BIN
140808004701292,BIN
140808001101098,BIN
140808004701332,BIN
140808002101079,BIN
140808002701097,BIN
140808003201376,BIN
140808003201008,BIN
140808002101011,BIN
140808002101297,BIN
140808004701209,BIN
140808002101280,BIN
140808003701231,BIN
140808004701071,BIN
140808002101137,BIN
140808002101096,BIN
140808004701204,BIN
140808002101332,BIN
140808002101143,BIN
140808002701080,BIN
140808002101202,BIN
140808002101235,BIN
140808003701355,BIN
140808003201057,BIN
140808001101035,BIN
140808001601280,BIN
140808003701020,BIN
140808003201089,BIN
140808001601105,BIN
140808004701099,BIN
140808002101393,BIN
140808001101247,BIN
140808001101352,BIN
140808002701014,BIN
140808001101361,BIN
140808002701241,BIN
140808001601073,BIN
140808003201381,BIN
140808003201244,BIN
140808002101188,BIN
140808003701075,BIN
140808002701111,BIN
140808003701018,BIN
140808004701139,BIN
140808002701331,BIN
140808002701129,BIN
140808004701298,BIN
140207002501162,BIN
140207002501035,BIN
140207001201239,BIN
140207001201261,BIN
140207002501244,BIN
140207001201366,BIN
140207002501002,BIN
140207002501099,BIN
140207001201172,BIN
140207002501268,BIN
140207001201108,BIN
140207002501346,BIN
140207001201294,BIN
140207001201103,BIN
140308001401007,BIN
140308001401390,BIN
140308000101331,BIN
140308001401070,BIN
140308001401006,BIN
140308000101298,BIN
140308001401397,BIN
140308001401154,BIN
140308001401269,BIN
140308001401160,BIN
140308001401279,BIN
140308001401113,BIN
140308001401092,BIN
140308003801316,BIN
140308001401256,BIN
140308001401048,BIN
131217003901376,BIN
131217003301187,BIN
131217003901127,BIN
131217003901163,BIN
131217003901244,BIN
131217002301062,BIN
131217001801012,BIN
131217003901059,BIN
131217001801143,BIN
131217001801356,BIN
131217003301068,BIN
131217003901003,BIN
131217003901101,BIN
131217001801398,BIN
131217001801397,BIN
131217003301098,BIN
131217002801093,BIN
131217003301049,BIN
131217001801399,BIN
131217001801205,BIN
131217002801123,BIN
131122000301363,BIN
131122000301158,BIN
131122000301321,BIN
131122000301362,BIN
131122000301195,BIN
160419002601359,BIN
160419002101167,BIN
160419003601360,BIN
160419004601071,BIN
160419003101012,BIN
160419003601397,BIN
160419002601244,BIN
160419005701165,BIN
160419004101154,BIN
160419005101096,BIN
160419002101077,BIN
160419002601056,BIN
160419002601387,BIN
160419002601329,BIN
160419003601196,BIN
160419003101136,BIN
160419004601149,BIN
160419003101164,BIN
160419003101340,BIN
160419005101126,BIN
160419002101393,BIN
160419005101074,BIN
160419002101263,BIN
160419002101123,BIN
160419005101256,BIN
160419003601093,BIN
160419005701242,BIN
160419002601328,BIN
160419004601372,BIN
160419004601208,BIN
160419005701158,BIN
160419002101072,BIN
160419003101010,BIN
160419005701108,BIN
160419002601358,BIN
160419004101241,BIN
160419002101389,BIN
160419004601333,BIN
160419002101360,BIN
160419003601123,BIN
160419003601285,BIN
160419005101220,BIN
160419003101119,BIN
160419003101251,BIN
160419002101015,BIN
160419003601168,BIN
160419005101360,BIN
160419003601038,BIN
160419002101128,BIN
160419002601240,BIN
160419005101319,BIN
160419003601094,BIN
161105004601379,BIN
161105003601394,BIN
161105003101212,BIN
161105004101094,BIN
161105004601117,BIN
161105005101164,BIN
161105002601128,BIN
161105003101161,BIN
161105003601301,BIN
161105005101259,BIN
161105003101387,BIN
161105004601106,BIN
161105004101126,BIN
161105005101325,BIN
161105003101012,BIN
161105004601171,BIN
161105002601133,BIN
161105005101271,BIN
161105004601194,BIN
161105004601325,BIN
161105004101278,BIN
161105003101334,BIN
161105003601226,BIN
161105002601058,BIN
161105004601345,BIN
161105003101323,BIN
161105003601299,BIN
161105003101125,BIN
161105005101160,BIN
161105003101370,BIN
161105003601309,BIN
140117001501271,BIN
140117002101118,BIN
140117002601238,BIN
140117002101301,BIN
140117001501188,BIN
140117001101025,BIN
140117001501286,BIN
140117001101322,BIN
140117001501357,BIN
140117002601348,BIN
140117002601116,BIN
140117001501305,BIN
140117002601178,BIN
140117001101306,BIN
140117002101272,BIN
140117001501239,BIN
140117002601314,BIN
140117001101217,BIN
140117001101207,BIN
140117002101227,BIN
140117001501257,BIN
140117001101142,BIN
140117002601388,BIN
140117001501078,BIN
140117002601023,BIN
140117002101399,BIN
131123004101235,BIN
131123003501081,BIN
131123003001195,BIN
131123002501362,BIN
131123003001067,BIN
131123003501371,BIN
131123003501236,BIN
131123004101205,BIN
131123002501321,BIN
131123003001248,BIN
131123004101035,BIN
131123003001344,BIN
131123002501158,BIN
131123004101054,BIN
131123002501201,BIN
131123002501363,BIN
131123003001368,BIN
131123003001176,BIN
131123002501195,BIN
170806004701155,BIN
170806004701259,BIN
170806005201076,BIN
170806005801312,BIN
170806004701303,BIN
170806001601012,BIN
170806005201398,BIN
170806004701121,BIN
170806004701233,BIN
170806005201282,BIN
170806005201249,BIN
170806004701288,BIN
170806004701331,BIN
170806005201389,BIN
170806003701245,BIN
170806004701106,BIN
170806005201024,BIN
170806003201296,BIN
170806003201210,BIN
170806001601185,BIN
170806005201042,BIN
